character,comic,reality,identity,alignment,eye_color,hair_color,sex,lgbtq,lgbtq_note,alive,appearances,first_appear_date,first_appear_year
William Tane,DC,New Earth,Public Identity,Good,,,Male,No,,Living,4,"1948, August",1948
William Taurens,Marvel,Earth-616,Public Identity,Bad,Brown,Brown,Male,No,,Living,38,"1971, July 01",1971
William Taurey,Marvel,Earth-616,No Dual Identity,Bad,,Grey,Male,No,,Living,6,"1976, February 01",1976
William Tockman,DC,New Earth,,Bad,Blue,Black,Male,No,,Deceased,32,"1960, August",1960
William Turner,Marvel,Earth-616,Secret Identity,Neutral,Brown,Brown,Male,No,,Deceased,9,"1974, November 01",1974
William Twotrees,DC,New Earth,Secret Identity,Good,Brown,Black,Male,No,,Living,12,"1994, December",1994
William Vickers,DC,New Earth,Public Identity,Good,Blue,Blond,Male,No,,Deceased,32,"1984, September",1984
William von Hammer,DC,New Earth,Public Identity,Good,Blue,Blond,Male,No,,Living,1,"2009, August",2009
William Wagner,Marvel,Earth-616,Secret Identity,Good,Blue,Brown,Male,No,,Living,8,"2022, January 07",2007
William Walker,DC,New Earth,Secret Identity,Neutral,Black,Black,Male,No,,Deceased,42,"1971, July",1971
William Walsh,DC,New Earth,Secret Identity,Bad,,Brown,Male,No,,Deceased,10,"1984, July",1984
William Walter Goodman,Marvel,Earth-616,No Dual Identity,,,Blond,Male,No,,Living,1,"1994, January 01",1994
William Walters,Marvel,Earth-616,Public Identity,,,Blond,Male,No,,Living,31,"1996, June 01",1996
William Walters,Marvel,Earth-982,Public Identity,,,Grey,Male,No,,Living,4,"1998, December 01",1998
William Waring,Marvel,Earth-616,Secret Identity,Good,Green,Red,Male,No,,Living,16,"1941, April 01",1941
William Wesley,Marvel,Earth-616,Public Identity,Good,,,Male,No,,Deceased,2,"1989, October 01",1989
William West,DC,New Earth,,Good,Blue,,Male,No,,Living,2,"1961, April",1961
William Wildeagle,DC,New Earth,Public Identity,Good,Blue,Black,Male,No,,Living,5,"1991, July",1991
William Williams,Marvel,Earth-616,,,,Black,Male,No,,Living,1,"1993, June 01",1993
William Young,Marvel,Earth-616,,Bad,Brown,Black,Male,No,,Deceased,5,"1975, June 01",1975
William Zard,DC,New Earth,Public Identity,Bad,Blue,Black,Male,No,,Living,89,"1947, April",1947
Willie (Teen Brigade),Marvel,Earth-616,Secret Identity,Good,,Red,Male,No,,Living,2,"1963, March 01",1963
Willie Dance,Marvel,Earth-616,,Bad,,,Male,No,,Living,1,"1975, October 01",1975
Willie Flower,Marvel,Earth-616,No Dual Identity,Neutral,,Brown,Male,No,,Living,1,"1948, May 01",1948
Willie Tamm,Marvel,Earth-616,Secret Identity,Bad,,Bald,Male,No,,Living,3,"1993, March 01",1993
Willie Walkaway,Marvel,Earth-616,Secret Identity,Good,Brown,Black,Male,No,,Living,3,"1995, March 01",1995
Willik,DC,New Earth,,,,,Male,No,,Living,1,"1972, August",1972
Willis Danko,DC,New Earth,Public Identity,Bad,Black,,Male,No,,Deceased,3,1995,1995
Willis Gottfried,Marvel,Earth-616,,,Blue,Blond,Male,No,,Living,2,"1998, July 01",1998
Willis Hayworth,Marvel,Earth-616,Public Identity,Bad,,Black,Male,No,,Living,7,"1991, December 01",1991
Willis Stryker,Marvel,Earth-616,Secret Identity,Bad,Brown,Black,Male,No,,Deceased,12,"1972, June 01",1972
Willis Todd,DC,New Earth,,Bad,,Brown,Male,No,,Living,5,"1987, July",1987
Willoughby Kipling,DC,New Earth,,Good,Brown,Black,Male,No,,Living,9,"1990, April",1990
Willow-Dancer,Marvel,Earth-616,,Good,,Brown,Female,No,,Living,1,"1990, April 01",1990
Wilma Calvin,Marvel,Earth-616,,Good,,White,Female,No,,Living,4,"1972, June 01",1972
Wilson Allan,Marvel,Earth-616,No Dual Identity,,,Brown,Male,No,,Living,8,"1964, October 01",1964
Wilson Fisk,Marvel,Earth-616,Public Identity,Bad,Blue,Bald,Male,No,,Living,503,"1967, July 01",1967
Wilson Klass,DC,New Earth,,Neutral,,Grey,Male,No,,Living,5,"1990, September",1990
Wilson Travers,Marvel,Earth-616,,,,Black,Male,No,,Living,1,"1978, July 01",1978
Wilton Wilkes,Marvel,Earth-616,No Dual Identity,Bad,,Brown,Male,No,,Living,1,"1944, December 01",1944
Winda Wester,Marvel,Earth-616,,Good,,Brown,Female,No,,Living,14,"1977, April 01",1977
Windmill (Grip),Marvel,Earth-616,,Bad,,,Male,No,,Living,1,"1990, January 01",1990
Windrider,DC,New Earth,Secret Identity,Bad,,White,Male,No,,Living,1,"1983, February",1983
Windstorm,Marvel,Earth-616,Secret Identity,Bad,Brown,Blond,Female,No,,Deceased,1,"1991, July 01",1991
Windy,Marvel,Earth-616,,Bad,,,Male,No,,Living,2,"1998, July 01",1998
Wing (Chaste),Marvel,Earth-616,,,,,Male,No,,Living,2,"1991, September 01",1991
Wing How,DC,New Earth,Secret Identity,Good,Brown,Black,Male,No,,Living,103,"1938, October",1938
Wing Po,Marvel,Earth-616,No Dual Identity,Bad,,Black,Male,No,,Living,1,"1940, March 01",1940
Winky Moylan,DC,New Earth,,,,Brown,Male,No,,Deceased,30,"1942, June",1942
Winslow Heath,DC,New Earth,Secret Identity,Bad,Green,Green,Male,No,,Living,4,"2010, September",2010
Winslow Schott,DC,New Earth,Public Identity,Bad,Blue,,Male,No,,Living,74,"1943, September",1943
Winslow Smith,Marvel,Earth-616,,Neutral,,Bald,Male,No,,Living,2,"1985, November 01",1985
Winsor,Marvel,Earth-616,,Bad,Blue,Black,Male,No,,Deceased,9,"2022, February 11",2011
Winston Churchill,Marvel,Earth-616,Public Identity,Good,Blue,,Male,No,,Deceased,16,"1941, September 01",1941
Winston Churchill,DC,New Earth,,Good,,Grey,Male,No,,Living,21,"1942, March",1942
Winston Churchill O'Donnell,DC,New Earth,,Good,,,Male,No,,Living,,"1988, July",1988
Winston Frankowski,Marvel,Earth-616,Secret Identity,Good,Brown,Red,Male,No,,Living,1,"2022, July 05",2005
Winston Frost,Marvel,Earth-616,Public Identity,Bad,Blue,Brown,Male,No,,Living,12,"2022, June 03",2003
Winston Hobbes,Marvel,Earth-616,Secret Identity,Bad,White,Black,Male,No,,Living,6,"2022, January 05",2005
Winston Kranpuff,Marvel,Earth-616,No Dual Identity,,Brown,White,Male,No,,Deceased,1,"1988, October 01",1988
Winston Manchester,Marvel,Earth-616,Secret Identity,Good,Brown,Brown,Male,No,,Living,13,"1988, September 01",1988
Winston Manchester (Skrull),Marvel,Earth-616,Secret Identity,Bad,Green,No Hair,Male,No,,Living,1,"2022, January 09",2009
Winston Redditch,Marvel,Earth-616,Public Identity,Bad,,Blond,Male,No,,Living,3,"1974, December 01",1974
Winters,Marvel,Earth-616,No Dual Identity,,,,Male,No,,Living,1,"1988, June 01",1988
"Winthrop Roan, Jr.",Marvel,Earth-616,Secret Identity,Good,Blue,Red,Male,No,,Living,20,"1982, May 01",1982
Wintley Roth,DC,New Earth,,Good,Blue,Black,Male,No,,Living,10,"1988, December",1988
Wipeout,Marvel,Earth-616,Secret Identity,Bad,Blue,White,Male,No,,Deceased,10,"1988, October 01",1988
Wire,Marvel,Earth-616,Secret Identity,Good,Red,White,Male,No,,Living,1,"1993, May 01",1993
Wirehead,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,7,"1994, March 01",1994
Wiretap,Marvel,Earth-616,,,,Red,Male,No,,Living,3,"1992, July 01",1992
Wise Owl,DC,New Earth,Public Identity,Bad,,White,Male,No,,Deceased,7,"1970, November",1970
Wish-Demon,Marvel,Earth-616,Secret Identity,Bad,Yellow,Black,,No,,Living,1,"1993, May 01",1993
Wishing Man,Marvel,Earth-616,Secret Identity,Good,Black,Black,Male,No,,Deceased,1,"2022, August 08",2008
Wishing Man (Triumph Division's second incarnation),Marvel,Earth-616,Secret Identity,Good,Black,Black,Male,No,,Living,,"2022, October 08",2008
Wisp,Marvel,Earth-616,Secret Identity,Bad,,Blond,Female,No,,Living,1,"1944, March 01",1944
Wissen,DC,New Earth,,Good,,White,Male,No,,Living,3,1987,1987
Witchazel,DC,New Earth,Secret Identity,Bad,,Purple,Female,No,,Living,2,"2005, November",2005
Witchbreaker,Marvel,Earth-616,,,,Black,Female,No,,Living,3,"2022, December 07",2007
Witness (1949),Marvel,Earth-616,Secret Identity,Neutral,,,Male,No,,Living,5,"1949, January 01",1949
Witness (WWII),Marvel,Earth-616,Secret Identity,Good,Brown,Brown,Male,No,,Living,13,"1941, December 01",1941
Wiwarto,Marvel,Earth-616,No Dual Identity,Good,White,,Male,No,,Living,2,"1990, May 01",1990
Wizard of the West,Marvel,Earth-616,,Bad,,,Male,No,,Living,1,"1996, December 01",1996
Wizened Sage,DC,New Earth,Secret Identity,Neutral,Brown,Black,Male,No,,Living,2,1987,1987
Wizor,DC,New Earth,,Bad,,,Male,No,,Living,7,"1977, July",1977
Wladyslav Shinski,Marvel,Earth-616,Public Identity,Bad,,Grey,Male,No,,Living,28,"1967, September 01",1967
Wolcott Farris,Marvel,Earth-616,Secret Identity,Bad,,Brown,Male,No,,Living,1,"1995, May 01",1995
Wolf,DC,New Earth,Secret Identity,Bad,Black,Brown,Male,No,,Living,3,"2010, February",2010
Wolf ('Vores),Marvel,Earth-616,,Bad,,,Male,No,,Living,,"1990, June 01",1990
Wolf (Nazi),Marvel,Earth-616,Secret Identity,Bad,,Black,Male,No,,Deceased,1,"1944, September 01",1944
Wolf (Quentin Carnival),Marvel,Earth-616,,Good,,Brown,Male,No,,Living,19,"1992, August 01",1992
Wolf (Thunderiders),Marvel,Earth-616,Secret Identity,Good,Brown,Black,Male,No,,Living,21,"1982, May 01",1982
Wolf Krieger,DC,New Earth,Public Identity,Bad,Black,Grey,Male,No,,Living,5,"1995, July",1995
Wolfen,Marvel,Earth-616,Secret Identity,Bad,,No Hair,Male,No,,Living,1,"1995, January 01",1995
Wolfgang Heinrich,Marvel,Earth-616,Secret Identity,Bad,,Blond,Male,No,,Living,1,"1986, October 01",1986
Wolfgang Schmidt,DC,New Earth,,Bad,,,Male,No,,Living,4,"1988, January",1988
Wolfgang Teppel,DC,New Earth,Public Identity,Bad,,,Male,No,,Deceased,1,"1989, October",1989
Wolfgang von Krantz,Marvel,Earth-616,,Bad,,Brown,Male,No,,Living,3,"1941, March 01",1941
Wolfgang von Roehm,Marvel,Earth-616,Secret Identity,Neutral,,,Male,No,,Living,1,,
Wolfgang von Strucker,Marvel,Earth-616,Public Identity,Bad,Blue,Bald,Male,No,,Deceased,164,"1964, January 01",1964
Wolfgang Winks,DC,New Earth,Public Identity,Good,,Black,Male,No,,Living,206,"1942, November",1942
Wolverine (Hatchitech),Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,1,"2022, December 12",2012
"Wolverine (James ""Logan"" Howlett)",Marvel,Earth-616,Public Identity,Neutral,Blue,Black,Male,No,,Living,3061,"1974, October 01",1974
Wonder Boy,DC,Earth-X,,,,Black,Male,No,,Living,26,"1940, July",1940
Wonder Woman (Diana Prince),DC,Earth-616,Public Identity,Good,Blue,Black,Female,No,,Living,1231,"1941, December",1941
Wonderdog,DC,New Earth,,Bad,,,Male,No,,Deceased,6,"2008, October",2008
Wong,Marvel,Earth-616,No Dual Identity,Good,Brown,Bald,Male,No,,Living,306,"1963, July 01",1963
Wong-Chu,Marvel,Earth-616,No Dual Identity,Bad,Brown,Bald,Male,No,,Deceased,22,"1963, March 01",1963
Wongus,Marvel,Earth-616,No Dual Identity,Good,Grey,No Hair,Male,No,,Deceased,1,"2022, April 11",2011
Woodgod,Marvel,Earth-616,Secret Identity,Good,Grey,Brown,Male,No,,Living,21,"1976, August 01",1976
Woodley Allen,DC,New Earth,Public Identity,Good,,Brown,Male,No,,Living,23,"1941, April",1941
Woodrow McCord,Marvel,Earth-616,No Dual Identity,Good,,White,Male,No,,Deceased,1,,
Woodrow Mencken,Marvel,Earth-616,Secret Identity,Bad,,Bald,Male,No,,Living,1,"1995, May 01",1995
Woodrow Truesmith,Marvel,Earth-616,No Dual Identity,Good,Blue,Red,Male,No,,Living,1,"1995, January 01",1995
Woodrow Wilson,DC,New Earth,,Good,,White,Male,No,,Living,1,"1975, June",1975
Woodson Hex,DC,New Earth,,Bad,,White,Male,No,,Deceased,14,"1977, December",1977
Woodstock Schumaker,Marvel,Earth-616,Secret Identity,Good,Blue,Blond,Female,No,,Living,16,"2022, December 01",2001
Woodward Himes,Marvel,Earth-616,No Dual Identity,Bad,Brown,Black,Male,No,,Living,1,"2022, August 10",2010
Wor'il,Marvel,Earth-616,Secret Identity,Bad,Green,No Hair,Male,No,,Living,,"2022, June 08",2008
Word,DC,New Earth,,,,,,No,,Living,5,"1994, October",1994
Word (Red Skull),Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,6,"1992, August 01",1992
Worla,DC,New Earth,,,,,Male,No,,Living,5,"1946, May",1946
World-Devouring Worm,Marvel,Earth-616,Public Identity,Bad,Red,No Hair,Male,No,,Living,,"1978, September 01",1978
Worm,DC,New Earth,Secret Identity,Bad,,,Male,No,,Living,,"1995, May",1995
Worm (Savage Land Mutate),Marvel,Earth-616,Secret Identity,Bad,Yellow,,Male,No,,Living,9,"1989, October 01",1989
Worm-Digger,Marvel,Earth-616,,Bad,,,Male,No,,Living,,"1998, November 01",1998
Wormhole,DC,New Earth,,Bad,Blue,Brown,Male,No,,Deceased,2,"2004, August",2004
Wormwhole Wodo (Legion Personality),Marvel,Earth-616,Secret Identity,Neutral,,No Hair,,No,,Living,1,"2022, March 13",2013
Wormwood (Dark Elf),Marvel,Earth-616,,Bad,,Brown,Male,No,,Living,6,"1984, September 01",1984
Worry Wart,DC,New Earth,Public Identity,Good,,Blond,Male,No,,Living,7,"1983, June",1983
Worta,Marvel,Earth-616,No Dual Identity,Bad,,Black,Male,No,,Living,1,"1970, November 01",1970
Wotan,DC,New Earth,Secret Identity,Bad,Black,Green,Male,No,,Living,26,"1940, May",1940
Wraarl,Marvel,Earth-616,Secret Identity,Bad,Red,No Hair,Male,No,,Living,14,"1983, July 01",1983
Wraith (Wolf),Marvel,Earth-616,,Bad,,White,,No,,Living,,"1975, October 01",1975
Wraith High Witch,Marvel,Earth-616,Secret Identity,Bad,,Grey,Female,No,,Living,4,"1982, August 01",1982
Wrakk,Marvel,Earth-616,Public Identity,Neutral,,,Male,No,,Living,1,"1989, November 01",1989
Wrangler (Laralie),Marvel,Earth-616,Secret Identity,Bad,Blue,Blond,Female,No,,Living,7,"1983, November 01",1983
Wrath,DC,Earth-One,Secret Identity,Bad,Blue,Black,Male,No,,Deceased,2,"1984, June",1984
Wreeth,DC,New Earth,,Bad,,,Male,No,,Deceased,4,"1992, January",1992
Wright,Marvel,Earth-616,Secret Identity,Neutral,,Black,Male,No,,Deceased,3,"2022, April 02",2002
Wrogg,Marvel,Earth-616,,Bad,Blue,Green,Male,No,,Deceased,3,"1964, October 01",1964
Wrong (Soldiers of Misfortune),Marvel,Earth-616,Secret Identity,Bad,,,,No,,Living,6,"1994, December 01",1994
Wrynn,DC,New Earth,Public Identity,Bad,Blue,Black,Male,No,,Deceased,4,"1987, November",1987
Wrytgrig,Marvel,Earth-616,,,,Purple,Male,No,,Living,,"1996, May 01",1996
Wu,Marvel,Earth-616,Secret Identity,Neutral,,No Hair,Male,No,,Living,53,"2022, April 10",2010
Wu Ao-Shi,Marvel,Earth-616,Secret Identity,Good,Black,Black,Female,No,,Living,2,"2022, February 07",2007
Wu Cheng,DC,New Earth,Public Identity,Good,,Black,Male,No,,Deceased,4,"1982, October",1982
Wump Jump,Marvel,Earth-616,Secret Identity,Neutral,,,Male,No,,Living,4,"1942, February 01",1942
Wunda,DC,New Earth,Public Identity,Bad,,Black,Female,No,,Living,1,"2005, November",2005
Wundarr,Marvel,Earth-616,Public Identity,Good,Brown,Brown,Male,No,,Living,46,"1973, October 01",1973
Wurta,Marvel,Earth-616,Public Identity,Bad,,Black,Male,No,,Living,1,"1971, April 01",1971
Wyatt Crowley,Marvel,Earth-616,,,,,Male,No,,Living,3,"2022, October 12",2012
Wyatt Earp,Marvel,Earth-616,No Dual Identity,Good,,Black,Male,No,,Deceased,14,"1955, March 01",1955
Wyatt McDonald (Zombie Clone),Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Deceased,1,"2022, May 11",2011
Wyatt Ohnn,Marvel,Earth-616,,Neutral,,Brown,Male,No,,Living,1,"2022, May 09",2009
Wyatt Sobel,Marvel,Earth-616,,Neutral,,,Male,No,,Living,5,"2022, August 02",2002
Wyatt Wingfoot,Marvel,Earth-616,Public Identity,Good,Brown,Black,Male,No,,Living,119,"1966, May 01",1966
Wyatt Wingfoot (Heroes Reborn),Marvel,Earth-616,Public Identity,Good,Brown,Black,Male,No,,Living,4,"1997, February 01",1997
Wylar,Marvel,Earth-616,,Bad,,,Male,No,,Living,1,"1989, November 01",1989
Wyld,DC,New Earth,,Bad,,,Male,No,,Living,9,"2009, November",2009
Wylxa,DC,New Earth,,Good,,Red,Male,No,,Living,2,"1982, September",1982
Wyndell Dickinson,Marvel,Earth-616,Secret Identity,Bad,Brown,Black,Male,No,,Living,8,"1991, October 01",1991
Wynona Wingfoot,Marvel,Earth-616,No Dual Identity,Good,Brown,Black,Female,No,,Living,,"1998, January 01",1998
Wynter,Marvel,Earth-616,Secret Identity,Bad,Yellow,Black,Male,No,,Deceased,1,"1999, April 01",1999
Wyre,Marvel,Earth-616,Secret Identity,Good,Brown,Brown,Male,No,,Living,17,"1992, November 01",1992
Wyynde,DC,New Earth,Public Identity,Good,Brown,Black,Male,No,,Living,24,"1982, April",1982
X (Monster),Marvel,Earth-616,Secret Identity,Bad,Variable Eye Color,Variable Hair Color,,No,,Living,5,"1961, June 01",1961
X (Thanosi),Marvel,Earth-616,,Bad,,,Male,No,,Deceased,1,"2022, August 02",2002
X-13,Marvel,Earth-616,Public Identity,Neutral,,,Male,No,,Living,2,"1962, February 01",1962
X-51,Marvel,Earth-616,Identity Known to Authorities,Good,Red,Black,Male,No,,Living,146,"1977, July 01",1977
X-666,Marvel,Earth-616,,Bad,Blue,Blond,Female,No,,Living,3,"2022, April 12",2012
X.E.R.O.,Marvel,Earth-616,Secret Identity,Bad,,,,No,,Living,1,"1999, October 01",1999
X'Hal,DC,New Earth,Secret Identity,Good,Red,Red,Female,No,,Living,,"1982, October",1982
X'Hoss,Marvel,Earth-616,No Dual Identity,Good,,,Male,No,,Living,,"2000, May 01",2000
X'iv,Marvel,Earth-616,Secret Identity,Bad,Red,No Hair,Male,No,,Living,,"2022, August 08",2008
Xa,Marvel,Earth-616,,Bad,,Red,Female,No,,Living,5,"1990, December 01",1990
Xak,Marvel,Earth-616,No Dual Identity,Neutral,Yellow,No Hair,,No,,Living,1,"1991, July 01",1991
Xakku,Marvel,Earth-616,,,Red,No Hair,Male,No,,Living,3,"1964, July 01",1964
Xalxor,Marvel,Earth-616,Secret Identity,Bad,Green,No Hair,Male,No,,Living,1,"1979, August 01",1979
Xan,Marvel,Earth-616,No Dual Identity,Bad,Yellow,Black,Male,No,,Deceased,1,,
Xan Fthgnr,Marvel,Earth-616,Secret Identity,Good,,Blue,Female,No,,Living,2,"1993, September 01",1993
Xandarian Worldmind,Marvel,Earth-616,Public Identity,Good,,,,No,,Living,52,"1977, April 01",1977
Xande,Marvel,Earth-616,No Dual Identity,Neutral,Brown,Black,Male,No,,Living,1,"2022, July 02",2002
Xander (Creators),Marvel,Earth-616,No Dual Identity,,,Black,Male,No,,Living,3,"1976, October 01",1976
Xandu (Sorcerer),Marvel,Earth-616,Secret Identity,Bad,Blue,White,Male,No,,Living,16,"1965, October 01",1965
Xane Swift,DC,New Earth,Secret Identity,Bad,,,Male,No,,Living,4,"2011, February",2011
Xang Kong,Marvel,Earth-616,No Dual Identity,,Black,Brown,Male,No,,Living,2,"2022, May 08",2008
Xanja,Marvel,Earth-616,No Dual Identity,Bad,,Green,Male,No,,Living,1,"1987, April 01",1987
Xanthes,Marvel,Earth-616,No Dual Identity,Bad,,Bald,Male,No,,Deceased,1,"1983, December 01",1983
Xanthi,DC,New Earth,Secret Identity,Neutral,Black,White,Male,No,,Deceased,5,"1989, January",1989
Xanto Starblood,Marvel,Earth-616,Secret Identity,Bad,Purple,No Hair,Male,No,,Living,8,"2022, April 12",2012
Xaos,Marvel,Earth-616,Secret Identity,Bad,,,Female,No,,Living,4,"1994, May 01",1994
Xaphan,Marvel,Earth-616,Secret Identity,Bad,Yellow,Black,Male,No,,Living,,"1982, June 01",1982
Xar,Marvel,Earth-616,,,,,Male,No,,Deceased,6,"1979, March 01",1979
Xarus,Marvel,Earth-616,Secret Identity,Bad,Red,Blond,Male,No,,Deceased,9,"2022, August 10",2010
Xavier Couture,Marvel,Earth-616,,Neutral,,Black,Male,No,,Living,1,"1976, July 01",1976
Xavier Dylan,DC,New Earth,,Bad,,Blond,Male,No,,Deceased,9,"2002, May",2002
Xavier Purvis,DC,New Earth,Secret Identity,Bad,Blue,Blond,Male,No,,Living,1,"1986, November",1986
Xavin,Marvel,Earth-616,Secret Identity,Good,Brown,Brown,Genderfluid,Yes,Genderfluid,Living,33,"2022, October 05",2005
Xax,DC,New Earth,Secret Identity,Good,Black,,Male,No,,Deceased,25,"1961, December",1961
Xebel,DC,New Earth,Public Identity,Neutral,,Grey,Male,No,,Living,4,"1963, October",1963
Xemnu,Marvel,Earth-616,Secret Identity,Bad,Red,White,Male,No,,Living,26,"1960, November 01",1960
Xena,Marvel,Earth-616,Secret Identity,Good,,Purple,Female,No,,Living,3,"1993, April 01",1993
Xeniac,Marvel,Earth-616,,Bad,,,Male,No,,Living,1,"2022, December 05",2005
Xenith,Marvel,Earth-616,Secret Identity,Bad,Brown,Bald,Female,No,,Living,16,"1995, December 01",1995
Xennon,Marvel,Earth-616,,,Red,,,No,,Living,2,"2022, December 05",2005
Xenofobe,DC,New Earth,,Good,,Green,Male,No,,Living,1,"1976, January",1976
Xenon,DC,New Earth,Secret Identity,Bad,Red,White,Male,No,,Living,3,"2003, February",2003
Xenos (Gwenn),Marvel,Earth-616,,Bad,Brown,Brown,Male,No,,Living,1,"1982, January 01",1982
Xeon,Marvel,Earth-616,,,,,Male,No,,Living,1,"1983, December 01",1983
Xepdgin,Marvel,Earth-616,,Neutral,,Blond,Male,No,,Deceased,2,"1975, August 01",1975
Xeron the Starslayer,Marvel,Earth-616,Secret Identity,Good,,,Male,No,,Living,4,"1971, February 01",1971
Xhoohx,Marvel,Earth-616,,,,Yellow,Male,No,,Deceased,3,"1979, June 01",1979
Xi Shan-Hao,Marvel,Earth-616,,Bad,,Bald,Male,No,,Living,3,"1981, March 01",1981
Xi'an Coy Manh,Marvel,Earth-616,Secret Identity,Good,Brown,Black,Female,Yes,Homosexual,Living,,"1980, December 01",1980
Xian Zheng,Marvel,Earth-616,No Dual Identity,Good,Black,Black,Male,No,,Living,2,,
Xiang Po,DC,New Earth,Secret Identity,Good,Red,,Female,No,,Deceased,43,"1988, January",1988
Xiomara,Marvel,Earth-616,No Dual Identity,Neutral,,Red,Female,No,,Living,1,"1993, February 01",1993
Xiong,Marvel,Earth-616,,Good,,White,Male,No,,Living,1,"2022, November 08",2008
Xira,Marvel,Earth-616,,,Brown,,Female,No,,Living,6,"1994, February 01",1994
Xirdal,Marvel,Earth-616,Public Identity,Bad,Yellow,No Hair,Female,No,,Deceased,2,"2022, January 11",2011
Xiuhtecutli,DC,New Earth,,Bad,,,Female,No,,Living,5,"1993, October",1993
Xixa Zenaya,Marvel,Earth-616,Secret Identity,,Blue,Blue,Female,No,,Living,1,"2022, December 04",2004
Xlyym,Marvel,Earth-616,,Bad,Red,,,No,,Living,4,"1994, January 01",1994
Xolotl,DC,New Earth,,Neutral,,,Male,No,,Deceased,1,"2006, September",2006
Xorak,Marvel,Earth-616,Secret Identity,,White,,Male,No,,Deceased,3,"1967, June 01",1967
Xorr the God-Jewel,Marvel,Earth-616,,Bad,Red,No Hair,Male,No,,Living,8,"1973, August 01",1973
Xotar,DC,New Earth,,Bad,,,Male,No,,Living,13,"1960, May",1960
Xraven,Marvel,Earth-616,No Dual Identity,Neutral,Red,No Hair,Male,No,,Living,3,,
Xu Tao,DC,New Earth,Secret Identity,Good,,Black,Male,No,,Living,13,"2006, June",2006
Xum,DC,New Earth,Secret Identity,Neutral,,,Male,No,,Living,7,"1978, September",1978
Xunanguero,Marvel,Earth-616,,Bad,,,,No,,Living,1,"2022, July 04",2004
Xuthl,Marvel,Earth-616,Secret Identity,,Yellow,,Male,No,,Living,3,"1987, April 01",1987
Xxan Xxar,Marvel,Earth-616,,,,No Hair,Male,No,,Living,2,"1983, December 01",1983
Xylon,DC,New Earth,Public Identity,Good,Black,,Male,No,,Living,19,"2009, July",2009
Xylpth,DC,New Earth,,Good,Blue,,Male,No,,Living,4,"1982, April",1982
Y'Garon,Marvel,Earth-616,Secret Identity,Bad,,Grey,Male,No,,Living,,"1974, September 01",1974
Ya'lont,Marvel,Earth-616,No Dual Identity,Good,White,,Male,No,,Living,,"2022, February 05",2005
Yada,Marvel,Earth-616,No Dual Identity,Good,,White,Female,No,,Living,2,"1978, October 01",1978
Yag-Kosha,Marvel,Earth-616,Secret Identity,,,,Male,No,,Living,1,"1971, April 01",1971
Yagyu Kojiro,Marvel,Earth-616,Secret Identity,,,Black,Male,No,,Living,1,"2022, May 09",2009
Yagzan,Marvel,Earth-616,Secret Identity,Bad,Black,No Hair,Male,No,,Living,18,"1974, August 01",1974
Yahnos Tr'morr,Marvel,Earth-616,Public Identity,Good,White,,Male,No,,Living,,"1996, October 01",1996
Yahweh,Marvel,Earth-616,No Dual Identity,Neutral,Variable Eye Color,Variable Hair Color,Male,No,,Living,3,"1980, October 01",1980
Yalan Gur,DC,New Earth,,Bad,,,Male,No,,Deceased,3,"1991, December",1991
Yalu River Rosie,Marvel,Earth-616,Public Identity,Bad,,Black,Female,No,,Living,13,"1952, November 01",1952
Yama (Devas),Marvel,Earth-616,,Bad,,Black,Male,No,,Living,3,"1982, October 01",1982
Yama-no-Kami,DC,New Earth,,,,Black,Female,No,,Living,,"2000, October",2000
Yamakayaka,Marvel,Earth-616,Public Identity,Good,,Black,Male,No,,Living,7,"1953, February 01",1953
Yamata no Orichi,Marvel,Earth-616,Public Identity,Bad,,No Hair,Male,No,,Living,,,
Yana Li,Marvel,Earth-616,Secret Identity,Neutral,,Brown,Female,No,,Living,3,"2022, August 09",2009
Yandroth,Marvel,Earth-616,Public Identity,Bad,Grey,Bald,Male,No,,Living,24,"1968, January 01",1968
Yang,Marvel,Earth-616,,Bad,,Black,Male,No,,Living,4,"2022, May 03",2003
Yang Kei-Ying,DC,New Earth,Public Identity,,Brown,Black,Male,No,,Living,13,"2006, June",2006
Yango,DC,New Earth,Public Identity,Good,,Brown,Male,No,,Living,8,"1970, October",1970
Yankee Clipper (Female),Marvel,Earth-616,,Good,,,Female,No,,Deceased,,"1987, March 01",1987
Yano,Marvel,Earth-616,Secret Identity,Bad,,Black,Male,No,,Living,2,"1997, June 01",1997
Yao,Marvel,Earth-616,Secret Identity,Good,Brown,Bald,Male,No,,Living,122,"1961, June 01",1961
Yao (Dragon),Marvel,Earth-616,Secret Identity,Bad,,No Hair,Male,No,,Living,2,"2022, October 09",2009
Yao Fei,DC,New Earth,Secret Identity,,Black,Black,Male,No,,Living,19,"2006, June",2006
Yara,Marvel,Earth-616,,Bad,,,Male,No,,Deceased,1,"1971, April 01",1971
Yarro Gort,Marvel,Earth-616,No Dual Identity,Bad,,,Male,No,,Deceased,2,"1969, November 01",1969
Yasemin Soze,DC,New Earth,Public Identity,Bad,Brown,Black,Female,No,,Deceased,7,"2005, December",2005
Yasir,Marvel,Earth-616,,Bad,,,Male,No,,Living,2,"1988, February 01",1988
